sv_kod;kod;plk;stacja;opiskod1;pelna;dzielnica;szerokosc;dlugosc;miasto;ulica;kod_p;gmina;kraj;wojewodztwo;nrposesjiwpis;promien;jednorazowy;kod_pracy;uwagi;blok
SV0000086946;MAŁDYTY (S);10983;MAŁDYTY;MAŁDYTY (STACJA);MAŁDYTY PRZEMYSŁOWA woj.WARMIŃSKO-MAZURSKIE Stacja:MAŁDYTY;NULL;53.92033730;19.74169400;MAŁDYTY;PRZEMYSŁOWA;14-330;NULL;POLSKA;WARMIŃSKO-MAZURSKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;MAŁE (D);NULL;NULL;MAŁE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MAŁE (S);NULL;NULL;MAŁE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000087058;MAŁE GACNO (S);16634;MAŁE GACNO;MAŁE GACNO (STACJA);MAŁE GACNO (STACJA) 89-505 woj.KUJAWSKO-POMORSKIE;NULL;53.60956081;18.10950843;MAŁE GACNO;NULL;89-505;NULL;POLSKA;KUJAWSKO-POMORSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000086558;MAŁKINIA (S);38307;MAŁKINIA;MAŁKINIA (STACJA);MAŁKINIA (STACJA) 07-320 woj.MAZOWIECKIE;NULL;52.69431710;22.03379640;MAŁKINIA GÓRNA;NULL;07-320;NULL;POLSKA;MAZOWIECKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;MAŁOGOSZCZ (D);NULL;NULL;MAŁOGOSZCZ (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000091464;MAŁOGOSZCZ (S);64709;MAŁOGOSZCZ;MAŁOGOSZCZ (STACJA);DWORZEC PKP MAŁOGOSZCZ, DROGA LEŚNA, SKORKÓW- MAŁOGOSZCZ, ZAKRUCZE, POLSKA;NULL;50.85034345;20.27332664;gmina MałogoszczZakrucze;droga leśna, skorków- małogoszcz;NULL;gmina Małogoszcz;POLSKA;województwo świętokrzyskie;NULL;1000.000;NULL;NULL;NULL;NULL
SV0000088437;MAŁOMICE (S);41277;MAŁOMICE;MAŁOMICE (STACJA);MAŁOMICE KOŁŁĄTAJA woj.LUBUSKIE Stacja:MAŁOMICE;NULL;51.54954354;15.44703974;MAŁOMICE;KOŁŁĄTAJA;67-320;NULL;POLSKA;LUBUSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;MAŁOPOLE (D);NULL;NULL;MAŁOPOLE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MAŁOPOLE (S);NULL;NULL;MAŁOPOLE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MAŁOWICE (D);NULL;NULL;MAŁOWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088073;MAŁOWICE (S);60566;MAŁOWICE WOŁOWSKIE;MAŁOWICE (STACJA);MAŁOWICE (STACJA) 56-150 woj.DOLNOŚLĄSKIE;NULL;51.40453248;16.47099702;MAŁOWICE;NULL;56-150;NULL;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;l;NULL
SV0000088074;MAŁOWICE WOŁOWS (S);60566;MAŁOWICE WOŁOWSKIE;MAŁOWICE WOŁOWSKIE (STACJA);MAŁOWICE WOŁOWSKIE (STACJA) 56-150 woj.DOLNOŚLĄSKIE;NULL;51.40453248;16.47099702;MAŁOWICE;NULL;56-150;NULL;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;l;NULL
SV0000091127;MAŁUJOWICE (S);62240;MAŁUJOWICE;MAŁUJOWICE (STACJA);Smaków 10, 49-318 Małujowice, Polska;NULL;50.83975700;17.39979750;MAŁUJOWICE;Smaków;49-318;gmina Skarbimierz;POLSKA;OPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;MAŁUSZÓW (D);NULL;NULL;MAŁUSZÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MAŁUSZÓW (S);NULL;NULL;MAŁUSZÓW (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000090375;MAŃCZOK (S);62455;MAŃCZOK;MAŃCZOK (STACJA);Leśna, 46-030 Mańczok, Polska;NULL;50.83092170;17.99119140;MAŃCZOK;Leśna;46-030;gmina Murów;POLSKA;OPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;MAŃCZYCE (D);NULL;NULL;MAŃCZYCE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MAŃCZYCE (S);NULL;NULL;MAŃCZYCE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000091139;MAŃKOWICE (S);56770;MAŃKOWICE;MAŃKOWICE (STACJA);151, 48-315 Mańkowice, Polska;NULL;50.48908180;17.47586500;MAŃKOWICE;NULL;48-315;gmina Łambinowice;POLSKA;OPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;MARCHEWKI (D);NULL;NULL;MARCHEWKI (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARCHEWKI (S);NULL;NULL;MARCHEWKI (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARCINKOWICE (S);NULL;NULL;MARCINKOWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086722;MARCINKOWO (S);9381;MARCINKOWO;MARCINKOWO (STACJA);MARCINKOWO MARCINKOWO woj.WARMIŃSKO-MAZURSKIE Stacja:MARCINKOWO;NULL;53.85994350;21.27172110;MARCINKOWO;MARCINKOWO;11-700;NULL;POLSKA;WARMIŃSKO-MAZURSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000088245;MARCINKÓW (S);48132;MARCINKÓW;MARCINKÓW (STACJA);MARCINKÓW (STACJA) 27-215 woj.ŚWIĘTOKRZYSKIE;NULL;51.09078040;20.97766030;MARCINKÓW;NULL;27-215;NULL;POLSKA;ŚWIĘTOKRZYSKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;MARCINOWO (D);NULL;NULL;MARCINOWO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARCINOWO (S);NULL;NULL;MARCINOWO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARCINÓW (D);NULL;NULL;MARCINÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARCINÓW (S);NULL;NULL;MARCINÓW (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000091911;MARCISZÓW (S);55608;MARCISZÓW;MARCISZÓW (STACJA);Dworcowa 8, Marciszów, Polska;NULL;50.85187650;16.00778270;MARCISZÓW;Dworcowa;58-410;powiat kamiennogórski;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000091771;MARCZÓW (S);55939;MARCZÓW;MARCZÓW (STACJA);Dworzec PKP Marczów, 1, 59-610 Marczów, Polska;NULL;51.05079350;15.66455520;MARCZÓW;NULL;59-610;powiat lwówecki;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;MARIANKI (D);NULL;NULL;MARIANKI (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARIANKI (S);NULL;NULL;MARIANKI (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARKI (D);NULL;NULL;MARKI (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARKI (M);NULL;NULL;MARKI (MIASTO);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARKI (S);NULL;NULL;MARKI (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARKI GRUNWALDZ (M);NULL;NULL;MARKI UL GRUNWALDZKA (MIESZKANIE SŁ);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARKOWICE (D);NULL;NULL;MARKOWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARKOWICE (S);NULL;NULL;MARKOWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARKUSZÓW (D);NULL;NULL;MARKUSZÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARKUSZÓW (S);NULL;NULL;MARKUSZÓW (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARSZÓW (D);NULL;NULL;MARSZÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088410;MARSZÓW (S);NULL;NULL;MARSZÓW (STACJA);MARSZÓW (STACJA) 68-200 woj.LUBUSKIE;NULL;51.62232637;15.20323277;MARSZÓW;NULL;68-200;NULL;POLSKA;LUBUSKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;MARTĄG (D);NULL;NULL;MARTĄG (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARTĄG (S);NULL;NULL;MARTĄG (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086447;MARTIANY (S);10413;MARTIANY;MARTIANY (STACJA);MARTIANY (STACJA) 11-400 woj.WARMIŃSKO-MAZURSKIE;NULL;54.02661640;21.51679890;MARTIANY;NULL;11-400;NULL;POLSKA;WARMIŃSKO-MAZURSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;MARUSZA (D);NULL;NULL;MARUSZA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARUSZA (S);NULL;NULL;MARUSZA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARUSZÓW (D);NULL;NULL;MARUSZÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARUSZÓW (S);NULL;NULL;MARUSZÓW (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARYNIN (D);NULL;NULL;MARYNIN (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARYNIN (S);NULL;NULL;MARYNIN (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARYNOWY (D);NULL;NULL;MARYNOWY (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARYNOWY (S);NULL;NULL;MARYNOWY (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARZENIN (D);NULL;NULL;MARZENIN (DOM);NULL;NULL;NULL;NULL;MARZENIN;NULL;NULL;NULL;NULL;NULL;NULL;2000.000;NULL;s;SV03928;NULL
SV0000085453;MARZENIN (S);30916;MARZENIN;MARZENIN (STACJA);MARZENIN KOLEJOWA woj.WIELKOPOLSKIE Stacja:MARZENIN;NULL;52.38657000;17.56103000;MARZENIN;KOLEJOWA;62-300;NULL;POLSKA;WIELKOPOLSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV03928;MARZENIN WIDNA 7;NULL;NULL;MARZENIN WIDNA 7;MARZENIN WIDNA 7;Marzenin Widna;51.55567500;19.03420800;MARZENIN;WIDNA;98-160;Polska;POLSKA;ŁÓDZKIE;NULL;2000.000;F;NULL;NULL;NULL
NULL;MARZEWO (D);NULL;NULL;MARZEWO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MARZEWO (S);NULL;NULL;MARZEWO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MASŁOŃSKIE NATAL (S);NULL;NULL;MASŁOŃSKIE NATALIN (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088759;MASZEWO (S);1446;MASZEWO;MASZEWO (STACJA);MASZEWO KILIŃSKIEGO woj.ZACHODNIOPOMORSKIE Stacja:MASZEWO;NULL;53.49695604;15.05590439;MASZEWO;KILIŃSKIEGO;72-130;NULL;POLSKA;ZACHODNIOPOMORSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000086076;MASZEWO LĘBO STH (S);5520;MASZEWO LĘBORSKIE STH;MASZEWO LĘBORSKIE STH (STACJA);MASZEWO LĘBORSKIE STH (STACJA) 84-315 woj.POMORSKIE;NULL;54.46278124;17.73321102;MASZEWO LĘBO STH;NULL;84-315;NULL;POLSKA;POMORSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000088762;MASZEWO LĘBORSK (D);NULL;NULL;MASZEWO LĘBORSKIE (DOM);MASZEWO LĘBORSKIE (DOM) 84-315 woj.POMORSKIE;NULL;54.47047090;17.73129990;MASZEWO LĘBORSKIE;NULL;84-315;NULL;POLSKA;POMORSKIE;NULL;2000.000;NULL;NULL;l;NULL
SV03935;MASZEWO SZKOLNA 7/5;NULL;NULL;MASZEWO SZKOLNA 7/5;MASZEWO SZKOLNA 7/5;NULL;54.47051400;17.73139600;MASZEWO LĘBORSKIE;NULL;84-315;NULL;POLSKA;POMORSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;MAŚLICE (D);NULL;NULL;MAŚLICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MAŚLICE (S);NULL;NULL;MAŚLICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MATEJKI (D);NULL;NULL;MATEJKI (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MATEJKI (S);NULL;NULL;MATEJKI (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088270;MATYSY (S);39958;MATYSY;MATYSY (STACJA);MATYSY (STACJA) 21-420 woj.LUBELSKIE;NULL;51.93997250;22.49376140;MATYSY;NULL;21-420;NULL;POLSKA;LUBELSKIE;NULL;2000.000;NULL;NULL;l;NULL
SV0000087694;MAZIŁY (S);66266;MAZIŁY;MAZIŁY (STACJA);MAZIŁY (STACJA) 22-672 woj.LUBELSKIE;NULL;50.40425670;23.32840320;MAZIŁY;NULL;22-672;NULL;POLSKA;LUBELSKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;MAZUROWICE (D);NULL;NULL;MAZUROWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MAZUROWICE (S);NULL;NULL;MAZUROWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088644;MĄKOSZYCE (S);61150;MĄKOSZYCE;MĄKOSZYCE (STACJA);MĄKOSZYCE KOŚCIELNA woj.OPOLSKIE Stacja:MĄKOSZYCE;NULL;50.93913697;17.63152098;MĄKOSZYCE;KOŚCIELNA;49-315;NULL;POLSKA;OPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000088534;MOKRE MAŁOPOLSK (S);84053;MOKRE MŁP.;MOKRE MAŁOPOLSKIE (STACJA);MOKRE MAŁOPOLSKIE (STACJA) 38-540 woj.PODKARPACKIE;NULL;49.44749450;22.16754860;MOKRE;NULL;38-540;NULL;POLSKA;PODKARPACKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;MOKRONOS (D);NULL;NULL;MOKRONOS (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MOKRONOS (S);NULL;NULL;MOKRONOS (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086955;MOKRZ (S);28985;MOKRZ;MOKRZ (STACJA);MOKRZ (STACJA) 64-510 woj.WIELKOPOLSKIE;NULL;52.74073672;16.27887503;MOKRZ;NULL;64-510;NULL;POLSKA;WIELKOPOLSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000086062;MOKRZYCA (S);4960;MOKRZYCA;MOKRZYCA (STACJA);MOKRZYCA (STACJA) 76-270 woj.POMORSKIE;NULL;54.55700850;16.88459579;USTKA;NULL;76-270;NULL;POLSKA;POMORSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000085704;MOKRZYCA WIEL PO (S);1669;MOKRZYCA WIELKA PO;MOKRZYCA WIELKA PO (STACJA);MOKRZYCA WIELKA PO (STACJA) 72-510 woj.ZACHODNIOPOMORSKIE;NULL;53.87466495;14.58060145;MOKRZYCA WIEL PO;NULL;72-510;NULL;POLSKA;ZACHODNIOPOMORSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;MONOWICE (D);NULL;NULL;MONOWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MONOWICE (S);NULL;NULL;MONOWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086969;MONTOWO (S);21881;MONTOWO;MONTOWO (STACJA);MONTOWO (STACJA) 13-324 woj.WARMIŃSKO-MAZURSKIE;NULL;53.43729850;19.77486060;MONTOWO;NULL;13-324;NULL;POLSKA;WARMIŃSKO-MAZURSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;MOŃKI (D);NULL;NULL;MOŃKI (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086431;MOŃKI (S);24133;MOŃKI;MOŃKI (STACJA);MOŃKI SŁOWACKIEGO woj.PODLASKIE Stacja:MOŃKI;NULL;53.40657380;22.79837720;MOŃKI;SŁOWACKIEGO;19-100;NULL;POLSKA;PODLASKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;MORAWICA (D);NULL;NULL;MORAWICA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MORAWICA (S);NULL;NULL;MORAWICA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MORĄG (M);NULL;NULL;MORĄG (MIASTO);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086948;MORĄG (S);10900;MORĄG;MORĄG (STACJA);MORĄG SKŁODOWSKIEJ-CURIE M. woj.WARMIŃSKO-MAZURSKIE Stacja:MORĄG;NULL;53.91199820;19.92798950;MORĄG;SKŁODOWSKIEJ-CURIE M.;14-300;NULL;POLSKA;WARMIŃSKO-MAZURSKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;MORĄG KOLONIA (S);NULL;NULL;MORĄG KOLONIA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086510;MORDY (S);39693;MORDY;MORDY (STACJA);MORDY (STACJA) 08-140 woj.MAZOWIECKIE;NULL;52.19590920;22.49693770;MORDY;NULL;08-140;NULL;POLSKA;MAZOWIECKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000086509;MORDY MIASTO (S);39719;MORDY MIASTO;MORDY MIASTO (STACJA);MORDY 8 DYWIZJI WOJSKA POLSKIEGO woj.MAZOWIECKIE Stacja:MORDY MIASTO;NULL;52.20325760;22.52099430;MORDY;8 DYWIZJI WOJSKA POLSKIEGO;08-140;NULL;POLSKA;MAZOWIECKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000088535;MOROCHÓW (S);84046;MOROCHÓW;MOROCHÓW (STACJA);MOROCHÓW (STACJA) 38-540 woj.PODKARPACKIE;NULL;49.46605880;22.18446180;MOROCHÓW;NULL;38-540;NULL;POLSKA;PODKARPACKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;MORSK (D);NULL;NULL;MORSK (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MORSK (S);NULL;NULL;MORSK (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MORZE (S);NULL;NULL;MORZE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000084724;MORZESZCZYN (S);8433;MORZESZCZYN;MORZESZCZYN (STACJA);MORZESZCZYN DWORCOWA woj.POMORSKIE Stacja:MORZESZCZYN;NULL;53.83707980;18.68606128;MORZESZCZYN;DWORCOWA;83-132;NULL;POLSKA;POMORSKIE;NULL;600.000;NULL;NULL;NULL;NULL
NULL;MORZĘCIN MAŁY BRZEZIŃSKA 24;NULL;NULL;MORZĘCIN MAŁY BRZEZIŃSKA 24;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000087009;MORZYCA (S);2360;MORZYCA;MORZYCA (STACJA);MORZYCA (STACJA) 73-115 woj.ZACHODNIOPOMORSKIE;NULL;53.21974087;15.15381802;MORZYCA;NULL;73-115;NULL;POLSKA;ZACHODNIOPOMORSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000087777;MOSINA (S);30452;MOSINA;MOSINA (STACJA);MOSINA KOLEJOWA woj.WIELKOPOLSKIE Stacja:MOSINA;NULL;52.24063718;16.85209973;MOSINA;KOLEJOWA;62-050;NULL;POLSKA;WIELKOPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000087955;MOSKALE (S);65078;MOSKALE;MOSKALE (STACJA);MOSKALE (STACJA) 37-403 woj.PODKARPACKIE;NULL;50.60049520;22.15786320;MOSKALE;NULL;37-403;NULL;POLSKA;PODKARPACKIE;NULL;2000.000;NULL;NULL;l;NULL
SV0000085479;MOSTKI (S);28167;MOSTKI;MOSTKI (STACJA);MOSTKI (STACJA) 66-218 woj.LUBUSKIE;NULL;52.26867000;15.39606300;MOSTKI;NULL;66-218;NULL;POLSKA;LUBUSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;MOSTÓWKA (D);NULL;NULL;MOSTÓWKA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000087605;MOSTÓWKA (S);NULL;NULL;MOSTÓWKA (STACJA);MOSTÓWKA DWORCOWA woj.MAZOWIECKIE;NULL;52.51976000;21.44206000;MOSTÓWKA;DWORCOWA;07-230;NULL;POLSKA;MAZOWIECKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000085717;MOSTY (S);1883;MOSTY;MOSTY (STACJA);MOSTY (STACJA) 72-132 woj.ZACHODNIOPOMORSKIE;NULL;53.56988070;14.94308160;MOSTY-OSIEDLE;NULL;72-132;NULL;POLSKA;ZACHODNIOPOMORSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000085718;MOSTY JW3646 BOC (S);177924;MOSTY JW3646 BOCZNICA;MOSTY JW3646 BOCZNICA (STACJA);MOSTY JW3646 BOCZNICA (STACJA) 72-132 woj.ZACHODNIOPOMORSKIE;NULL;53.56988070;14.94308160;MOSTY-OSIEDLE;NULL;72-132;NULL;POLSKA;ZACHODNIOPOMORSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000089809;MOSZCZENICA (S);47787;MOSZCZENICA;MOSZCZENICA (STACJA);Dworcowa 22, 97-310 Moszczenica Poduchowna, Polska;NULL;51.50232000;19.70111000;MOSZCZENICA;Dworcowa;97-310;gmina Moszczenica;POLSKA;ŁÓDZKIE;NULL;1000.000;NULL;NULL;NULL;NULL
NULL;MOSZCZENICA MAŁO (S);NULL;NULL;MOSZCZENICA MAŁOPOLSKA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086566;MOSZCZENICA POM (S);15883;MOSZCZENICA POMORSKA;MOSZCZENICA POMORSKA (STACJA);MOSZCZENICA POMORSKA (STACJA) 89-665 woj.POMORSKIE;NULL;53.64261393;17.48921791;MOSZCZENICA POM;NULL;89-665;NULL;POLSKA;POMORSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000091101;MOSZNA (S);57034;MOSZNA;MOSZNA (STACJA);Leśna, 47-370 Moszna, Polska;NULL;50.43110810;17.77195720;MOSZNA;Leśna;47-370;gmina Strzeleczki;POLSKA;OPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
